FID;OBJECTID;Cientifico;Year;Fuente;Nombre;DPA_DESCAN;POINT_X;POINT_Y
297;298;Iresine diffusa Humb. & Bonpl. ex Willd.;1961;Tropicos;Chulku, escancel;LOJA;-79,234999999699994;-3,889999999500000
298;299;Iresine diffusa Humb. & Bonpl. ex Willd.;1965;Tropicos;Chulku, escancel;LOJA;-79,209999999700003;-3,950000000100000
299;300;Iresine diffusa Humb. & Bonpl. ex Willd.;1988;Tropicos;Chulku, escancel;LOJA;-79,150000000000006;-3,919999999800000
300;301;Iresine diffusa Humb. & Bonpl. ex Willd.;1994;Tropicos;Chulku, escancel;CELICA;-79,950000000200006;-4,100000000700000
301;302;Iresine diffusa Humb. & Bonpl. ex Willd.;1994;Tropicos;Chulku, escancel;LOJA;-79,169999999599995;-4,270000000000000
302;303;Iresine diffusa Humb. & Bonpl. ex Willd.;2000;Tropicos;Chulku, escancel;PUYANGO;-79,979999999599997;-3,999999999100000
303;304;Iresine diffusa Humb. & Bonpl. ex Willd.;2019;INaturalist;Chulku, escancel;LOJA;-79,198509915000002;-4,037471414970000
304;305;Iresine diffusa Humb. & Bonpl. ex Willd.;2020;INaturalist;Chulku, escancel;LOJA;-79,213987599899994;-4,133175650140000
305;306;Iresine diffusa Humb. & Bonpl. ex Willd.;2023;INaturalist;Chulku, escancel;LOJA;-79,304028333399998;-4,061456387900000
306;307;Iresine diffusa Humb. & Bonpl. ex Willd.;2024;INaturalist;Chulku, escancel;OLMEDO;-79,569648999699993;-3,973821999690000
307;308;Iresine diffusa Humb. & Bonpl. ex Willd.;2024;Proyecto;Chulku, escancel;LOJA;-79,285788956800005;-3,868019000280000
308;309;Iresine herbstii Hook.;1988;Tropicos;Escancel, Tigrecillo;SARAGURO;-79,230000000199993;-3,629999999300000
309;310;Iresine herbstii Hook.;1989;Tropicos;Escancel, Tigrecillo;SARAGURO;-79,270000000300001;-3,580000000300000
310;311;Iresine herbstii Hook.;2016;Investigación UTPL;Escancel, Tigrecillo;LOJA;-79,278887827899993;-4,002086398820000
311;312;Iresine herbstii Hook.;2016;Investigación UTPL;Escancel, Tigrecillo;SARAGURO;-79,317560945300002;-3,596131968120000
312;313;Linum usitatissimum L.;1967;GBIF;Linaza;LOJA;-79,199999999900001;-4,000000000000000
313;314;Linum usitatissimum L.;1977;GBIF;Linaza;LOJA;-79,249999999799996;-4,300000000300000
314;315;Linum usitatissimum L.;1988;GBIF;Linaza;SARAGURO;-79,233165000000000;-3,633165000010000
315;316;Linum usitatissimum L.;1990;GBIF;Linaza;LOJA;-79,356100000300003;-3,841400000310000
316;317;Linum usitatissimum L.;1994;GBIF;Linaza;LOJA;-79,183333000199994;-3,983333000320000
317;318;Linum usitatissimum L.;2002;GBIF;Linaza;LOJA;-79,233333000100004;-3,816667000080000
318;319;Linum usitatissimum L.;2003;GBIF;Linaza;LOJA;-79,202221999800003;-4,034999999750000
319;320;Linum usitatissimum L.;2004;GBIF;Linaza;LOJA;-79,342199999599998;-3,831900000180000
320;321;Linum usitatissimum L.;2007;GBIF;Linaza;LOJA;-79,265799999999999;-3,703933000310000
321;322;Linum usitatissimum L.;2008;GBIF;Linaza;CATAMAYO;-79,362440000399999;-3,982685000110000
322;323;Linum usitatissimum L.;2008;GBIF;Linaza;CELICA;-79,955875999599996;-4,103168000200000
323;324;Linum usitatissimum L.;2009;GBIF;Linaza;LOJA;-79,204200000200004;-3,998486000330000
324;325;Linum usitatissimum L.;2015;GBIF;Linaza;MACARA;-79,772105000099998;-4,429034999970000
325;326;Linum usitatissimum L.;2016;Investigación UTPL;Linaza;CATAMAYO;-79,280015799400005;-3,994281510130000
326;327;Linum usitatissimum L.;2016;Investigación UTPL;Linaza;LOJA;-79,278194251399995;-3,881812415560000
327;328;Linum usitatissimum L.;2017;GBIF;Linaza;CATAMAYO;-79,304618999599995;-4,096860999840000
328;329;Linum usitatissimum L.;2024;Proyecto;Linaza;LOJA;-79,292641915800004;-3,890612624420000
329;330;Ludwigia nervosa (Poir.) H. Hara;1982;GBIF;Flor de reina, mejorana de huerta;PALTAS;-79,720800000300002;-3,991700000350000
330;331;Ludwigia nervosa (Poir.) H. Hara;2006;GBIF;Flor de reina, mejorana de huerta;CATAMAYO;-79,353005999700002;-4,032680999830000
331;332;Ludwigia nervosa (Poir.) H. Hara;2008;GBIF;Flor de reina, mejorana de huerta;PALTAS;-79,650420000400004;-4,053818999750000
332;333;Malva arborea (L.) Webb & Berthel.;1976;GBIF;Malva  altea, malva blanca;LOJA;-79,198674999999994;-4,037084999670000
333;334;Malva arborea (L.) Webb & Berthel.;1990;GBIF;Malva  altea, malva blanca;LOJA;-79,356100000300003;-3,841400000310000
334;335;Malva arborea (L.) Webb & Berthel.;1994;GBIF;Malva  altea, malva blanca;LOJA;-79,183299999599996;-3,983299999700000
335;336;Malva arborea (L.) Webb & Berthel.;2004;GBIF;Malva  altea, malva blanca;LOJA;-79,342199999599998;-3,831900000180000
336;337;Malva arborea (L.) Webb & Berthel.;2007;GBIF;Malva  altea, malva blanca;LOJA;-79,269147999699996;-3,708751000360000
337;338;Malva arborea (L.) Webb & Berthel.;2024;Proyecto;Malva  altea, malva blanca;LOJA;-79,339994000399997;-3,856852999770000
338;339;Malva parviflora L.;2008;GBIF;malva arborea, malva blanca,  (flor grande);CATAMAYO;-79,362440000399999;-3,982685000110000
339;340;Malva parviflora L.;2016;Investigación UTPL;malva arborea, malva blanca,  (flor grande);LOJA;-79,278887827899993;-4,002086398820000
340;341;Malva parviflora L.;2024;Proyecto;malva arborea, malva blanca,  (flor grande);LOJA;-79,336151450900005;-3,854516304780000
341;342;Malva parviflora L.;2024;Proyecto;Malva arborea, malva blanca,  (flor grande);LOJA;-79,251671999600006;-3,959716299770000
342;343;Mathiola incana (L.) R. Br.;2016;Investigación UTPL;Alelia;CATAMAYO;-79,282018050900007;-3,997012132000000
343;344;Mathiola incana (L.) R. Br.;2016;Investigación UTPL;Alelia;LOJA;-79,253331282500000;-4,053203963290000
344;345;Matricaria recutita L.;2016;Investigación UTPL;Manzanilla;CATAMAYO;-79,280015799400005;-3,995088507780000
345;346;Matricaria recutita L.;2016;Investigación UTPL;Manzanilla;LOJA;-79,255275368100001;-3,993459024360000
346;347;Matricaria recutita L.;2016;Investigación UTPL;Manzanilla;SARAGURO;-79,317560945300002;-3,596131968120000
347;348;Matricaria recutita L.;2024;Proyecto;Manzanilla;LOJA;-79,287684514099993;-3,869539717880000
348;349;Matthiola incana (L.) W.T. Aiton;2024;Proyecto;Alhelí;LOJA;-79,232476296900003;-3,952507767720000
349;350;Melissa officinalis L.;1989;GBIF;Toronjil;LOJA;-79,199999999900001;-4,000000000000000
350;351;Melissa officinalis L.;1990;GBIF;Toronjil;LOJA;-79,215599999800006;-3,974200000030000
351;352;Melissa officinalis L.;1994;GBIF;Toronjil;LOJA;-79,183299999599996;-3,983299999700000
352;353;Melissa officinalis L.;1996;GBIF;Toronjil;CATAMAYO;-79,236900000000006;-4,098299999650000
353;354;Melissa officinalis L.;2004;GBIF;Toronjil;LOJA;-79,342199999599998;-3,831900000180000
354;355;Melissa officinalis L.;2005;GBIF;Toronjil;LOJA;-79,198674999999994;-4,037084999670000
355;356;Melissa officinalis L.;2007;GBIF;Toronjil;LOJA;-79,269150999800004;-3,707268000320000
356;357;Melissa officinalis L.;2008;GBIF;Toronjil;CATAMAYO;-79,362440000399999;-3,982685000110000
357;358;Melissa officinalis L.;2008;GBIF;Toronjil;CELICA;-79,955875999599996;-4,103168000200000
358;359;Melissa officinalis L.;2009;GBIF;Toronjil;LOJA;-79,204200000200004;-3,998486000330000
359;360;Melissa officinalis L.;2013;GBIF;Toronjil;PALTAS;-79,695849999999993;-3,993533000350000
360;361;Melissa officinalis L.;2024;Proyecto;Toronjil;LOJA;-79,281426000200000;-3,892920000160000
361;362;Melissa officinalis L.;2024;Proyecto;Troronjil;LOJA;-79,315086796100005;-3,921670227000000
362;363;Mentha spicata L.;1990;GBIF;Hierba buena, menta, menta negra;LOJA;-79,356110999899997;-3,841388999800000
363;364;Mentha spicata L.;1996;GBIF;Hierba buena, menta, menta negra;CATAMAYO;-79,236900000000006;-4,098299999650000
364;365;Mentha spicata L.;1996;GBIF;Hierba buena, menta, menta negra;LOJA;-79,265599999700001;-3,704400000260000
365;366;Mentha spicata L.;2006;GBIF;Hierba buena, menta, menta negra;LOJA;-79,252057999800002;-3,906027999840000
366;367;Mentha spicata L.;2008;GBIF;Hierba buena, menta, menta negra;CATAMAYO;-79,362440000399999;-3,982685000110000
367;368;Mentha spicata L.;2008;GBIF;Hierba buena, menta, menta negra;CELICA;-79,955875999599996;-4,103168000200000
368;369;Mentha spicata L.;2009;GBIF;Hierba buena, menta, menta negra;LOJA;-79,204200000200004;-3,998486000330000
369;370;Mentha spicata L.;2016;Investigación UTPL;Hierba buena, menta, menta negra;LOJA;-79,280138336999997;-3,895860544930000
370;371;Mentha x piperita L.;1985;GBIF;Hierba buena, menta;LOJA;-79,241650000099995;-4,125000000200000
371;372;Mentha x piperita L.;2004;GBIF;Hierba buena, menta;LOJA;-79,270077999799994;-3,909828500190000
372;373;Mentha x piperita L.;2006;GBIF;Hierba buena, menta;LOJA;-79,198674999999994;-4,037084999670000
373;374;Mentha x piperita L.;2007;GBIF;Hierba buena, menta;LOJA;-79,194080000300005;-4,075686000010000
374;375;Mentha x piperita L.;2008;GBIF;Hierba buena, menta;CATAMAYO;-79,362440000399999;-3,982685000110000
375;376;Mentha x piperita L.;2009;GBIF;Hierba buena, menta;LOJA;-79,204200000200004;-3,998486000330000
376;377;Mentha x piperita L.;2016;Investigación UTPL;Hierba buena, menta;CATAMAYO;-79,280015799400005;-3,995088507780000
377;378;Mentha x piperita L.;2016;Investigación UTPL;Hierba buena, menta;LOJA;-79,254994130699998;-3,879304302150000
378;379;Mentha x piperita L.;2024;Proyecto;Hierba buena, menta;LOJA;-79,279159500000006;-3,889321217750000
379;380;Myrcianthes hallii (O.  Berg) McVaugh;2010;GBIF;Arrayán;CELICA;-79,942499999700004;-4,083611000350000
380;381;Myrcianthes hallii (O.  Berg) McVaugh;2010;Tropicos;Arrayán;CELICA;-79,939999999500003;-4,080000000200000
381;382;Myrcianthes hallii (O.  Berg) McVaugh;2024;Proyecto;Arrayán;LOJA;-79,339180999800007;-3,857245999900000
382;383;Niphidium crassifolium (L.) Lellinger;1973;GBIF;Calawala;LOJA;-79,150000000000006;-4,000000000000000
383;384;Niphidium crassifolium (L.) Lellinger;1983;GBIF;Calawala;CELICA;-79,965999999700003;-4,099999999800000
384;385;Niphidium crassifolium (L.) Lellinger;1985;GBIF;Calawala;LOJA;-79,166330000299993;-4,083165000010000
385;386;Niphidium crassifolium (L.) Lellinger;1985;GBIF;Calawala;PALTAS;-79,654550000200004;-4,088740000350000
386;387;Niphidium crassifolium (L.) Lellinger;1986;GBIF;Calawala;CATAMAYO;-79,299999999700006;-3,991683500040000
387;388;Niphidium crassifolium (L.) Lellinger;1988;GBIF;Calawala;LOJA;-79,166330000299993;-3,983165000210000
388;389;Niphidium crassifolium (L.) Lellinger;1989;GBIF;Calawala;LOJA;-79,166330000299993;-4,083165000010000
389;390;Niphidium crassifolium (L.) Lellinger;1989;GBIF;Calawala;SARAGURO;-79,266330000099998;-3,616330000230000
390;391;Niphidium crassifolium (L.) Lellinger;1993;GBIF;Calawala;PALTAS;-79,654550000200004;-4,088740000350000
391;392;Niphidium crassifolium (L.) Lellinger;1994;GBIF;Calawala;CALVAS;-79,688074999799994;-4,324419999580000
392;393;Niphidium crassifolium (L.) Lellinger;1994;GBIF;Calawala;LOJA;-79,306375000100005;-4,052799999970000
393;394;Niphidium crassifolium (L.) Lellinger;1997;GBIF;Calawala;PUYANGO;-80,183164999900001;-3,983165000210000
394;395;Niphidium crassifolium (L.) Lellinger;2002;GBIF;Calawala;LOJA;-79,128889000399994;-4,384444000390000
395;396;Niphidium crassifolium (L.) Lellinger;2005;GBIF;Calawala;LOJA;-79,233121500300001;-3,892663000000000
396;397;Niphidium crassifolium (L.) Lellinger;2005;GBIF;Calawala;SOZORANGA;-79,724757000200000;-4,367171999790000
397;398;Niphidium crassifolium (L.) Lellinger;2008;GBIF;Calawala;CATAMAYO;-79,362440000399999;-3,982685000110000
398;399;Niphidium crassifolium (L.) Lellinger;2008;GBIF;Calawala;CELICA;-79,955875999599996;-4,103168000200000
399;400;Niphidium crassifolium (L.) Lellinger;2018;INaturalist;Calawala;LOJA;-79,205418999800003;-4,083474799820000
400;401;Niphidium crassifolium (L.) Lellinger;2020;GBIF;Calawala;CALVAS;-79,552155999700005;-4,303156000150000
401;402;Niphidium crassifolium (L.) Lellinger;2020;INaturalist;Calawala;CALVAS;-79,552156131900006;-4,303156317610000
402;403;Niphidium crassifolium (L.) Lellinger;2023;INaturalist;Calawala;CELICA;-79,958439767100003;-4,103125749150000
403;404;Niphidium crassifolium (L.) Lellinger;2024;INaturalist;Calawala;LOJA;-79,199645335200003;-4,033918654920000
404;405;Niphidium crassifolium (L.) Lellinger;2024;Proyecto;Calawala;LOJA;-79,276024400400004;-3,869853500340000
405;406;Niphogeton dissecta (Benth.) J.F. Macbr.;1985;Tropicos;Culantrillo;SARAGURO;-79,249999998899995;-3,670000000300000
406;407;Niphogeton dissecta (Benth.) J.F. Macbr.;1988;Tropicos;Culantrillo;LOJA;-79,119999998799997;-4,384999999950000
407;408;Niphogeton dissecta (Benth.) J.F. Macbr.;1989;Tropicos;Culantrillo;LOJA;-79,169999999599995;-4,100000000700000
408;409;Niphogeton dissecta (Benth.) J.F. Macbr.;1994;Tropicos;Culantrillo;LOJA;-79,239999999999995;-4,019999999600000
409;410;Niphogeton dissecta (Benth.) J.F. Macbr.;2024;Proyecto;Culantrillo;CATAMAYO;-79,230990000000006;-4,052610999800000
410;411;Ocimum basilicum L.;1990;GBIF;Albahaca, albahaca  de sal, albahaca negra;LOJA;-79,215599999800006;-3,974200000030000
411;412;Ocimum basilicum L.;2009;GBIF;Albahaca, albahaca  de sal, albahaca negra;LOJA;-79,204200000200004;-3,998486000330000
412;413;Ocimum basilicum L.;2016;Investigación UTPL;Albahaca, albahaca  de sal, albahaca negra;CATAMAYO;-79,281013012200006;-3,995364226430000
413;414;Ocimum basilicum L.;2016;Investigación UTPL;Albahaca, albahaca  de sal, albahaca negra;LOJA;-79,278692290099997;-4,027919751050000
414;415;Ocimum basilicum L.;2017;GBIF;Albahaca, albahaca  de sal, albahaca negra;CATAMAYO;-79,304618999599995;-4,096860999840000
415;416;Ocimum basilicum L.;2021;GBIF;Albahaca, albahaca  de sal, albahaca negra;LOJA;-79,222409999999996;-3,978506999900000
416;417;Ocimum campechianum Mill.;1994;GBIF;Albahaca, albahaca blanca, albahaca de dulce;PALTAS;-79,661110999700000;-3,997221999600000
417;418;Ocimum campechianum Mill.;2016;Investigación UTPL;Albahaca, albahaca blanca, albahaca de dulce;CATAMAYO;-79,277733684699996;-3,996171224070000
418;419;Ocimum campechianum Mill.;2016;Investigación UTPL;Albahaca, albahaca blanca, albahaca de dulce;LOJA;-79,255275368100001;-3,916911539040000
419;420;Ocimum campechianum Mill.;2024;Proyecto;Albahaca, albahaca blanca, albahaca de dulce;LOJA;-79,269752500099997;-3,911798999770000
420;421;Oenothera rosea L'Her. ex Aiton;1981;Tropicos;Shullu;LOJA;-79,199999999900001;-4,000000000000000
421;422;Oenothera rosea L'Her. ex Aiton;1988;Tropicos;Shullu;SARAGURO;-79,230000000199993;-3,629999999300000
422;423;Oenothera rosea L'Her. ex Aiton;2016;Investigación UTPL;Shullu;CATAMAYO;-79,281013012200006;-3,996171224070000
423;424;Oenothera rosea L'Her. ex Aiton;2016;Investigación UTPL;Shullu;LOJA;-79,255275368100001;-3,879304302150000
424;425;Oenothera rosea L'Her. ex Aiton;2019;INaturalist;Shullu;LOJA;-79,201769361199993;-3,982802832880000
425;426;Oenothera rosea L'Her. ex Aiton;2020;INaturalist;Shullu;LOJA;-79,203442985999999;-4,024797723990000
426;427;Oenothera rosea L'Her. ex Aiton;2021;INaturalist;Shullu;LOJA;-79,208858333300000;-3,978858058350000
427;428;Oenothera rosea L'Her. ex Aiton;2021;INaturalist;Shullu;SOZORANGA;-79,792291671100003;-4,333951702610000
428;429;Oenothera rosea L'Her. ex Aiton;2022;INaturalist;Shullu;ESPINDOLA;-79,428873807599999;-4,585099899840000
429;430;Oenothera rosea L'Her. ex Aiton;2022;INaturalist;Shullu;LOJA;-79,201840805600000;-4,014264470730000
430;431;Oenothera rosea L'Her. ex Aiton;2022;INaturalist;Shullu;SOZORANGA;-79,801962776300002;-4,326002880130000
431;432;Oenothera rosea L'Her. ex Aiton;2023;INaturalist;Shullu;LOJA;-79,222144700000001;-4,343879499440000
432;433;Oenothera rosea L'Her. ex Aiton;2024;INaturalist;Shullu;CELICA;-80,016977302800001;-4,205490797760000
433;434;Oenothera rosea L'Her. ex Aiton;2024;Proyecto;Shullu;LOJA;-79,284717000000001;-3,892931449430000
434;435;Oreocallis grandiflora (Lam.) R. Br;1965;GBIF;Cucharillo, gañil;LOJA;-79,206666999800007;-4,033611000450000
435;436;Oreocallis grandiflora (Lam.) R. Br;1972;GBIF;Cucharillo, gañil;GONZANAMA;-79,500000000200004;-4,083329999980000
436;437;Oreocallis grandiflora (Lam.) R. Br;1973;GBIF;Cucharillo, gañil;LOJA;-79,231500000099999;-3,917999999750000
437;438;Oreocallis grandiflora (Lam.) R. Br;1973;GBIF;Cucharillo, gañil;SARAGURO;-79,181665000600006;-3,581665000190000
438;439;Oreocallis grandiflora (Lam.) R. Br;1973;Tropicos;Cucharillo, gañil;SARAGURO;-79,180000001200000;-3,580000000300000
439;440;Oreocallis grandiflora (Lam.) R. Br;1976;GBIF;Cucharillo, gañil;ESPINDOLA;-79,332999999899997;-4,582999999950000
440;441;Oreocallis grandiflora (Lam.) R. Br;1977;GBIF;Cucharillo, gañil;LOJA;-79,225378000199996;-4,262327999640000
441;442;Oreocallis grandiflora (Lam.) R. Br;1977;GBIF;Cucharillo, gañil;SARAGURO;-79,238066999899999;-3,621747000020000
442;443;Oreocallis grandiflora (Lam.) R. Br;1978;GBIF;Cucharillo, gañil;LOJA;-79,200832999599996;-4,088332999570000
443;444;Oreocallis grandiflora (Lam.) R. Br;1982;GBIF;Cucharillo, gañil;CATAMAYO;-79,356910999899995;-3,986538999770000
444;445;Oreocallis grandiflora (Lam.) R. Br;1982;GBIF;Cucharillo, gañil;LOJA;-79,266960999600002;-3,969088999960000
445;446;Oreocallis grandiflora (Lam.) R. Br;1983;GBIF;Cucharillo, gañil;LOJA;-79,299999999700006;-3,983330000180000
446;447;Oreocallis grandiflora (Lam.) R. Br;1983;Tropicos;Cucharillo, gañil;LOJA;-79,299999999700006;-3,980000000400000
447;448;Oreocallis grandiflora (Lam.) R. Br;1984;GBIF;Cucharillo, gañil;CATAMAYO;-79,299499999999995;-4,008330000130000
448;449;Oreocallis grandiflora (Lam.) R. Br;1984;GBIF;Cucharillo, gañil;LOJA;-79,241480499900007;-4,002741500070000
449;450;Oreocallis grandiflora (Lam.) R. Br;1984;Tropicos;Cucharillo, gañil;CATAMAYO;-79,270000000300001;-4,019999999600000
450;451;Oreocallis grandiflora (Lam.) R. Br;1984;Tropicos;Cucharillo, gañil;LOJA;-79,220000000400006;-3,999999999100000
451;452;Oreocallis grandiflora (Lam.) R. Br;1986;GBIF;Cucharillo, gañil;SARAGURO;-79,249999998899995;-3,499999999200000
452;453;Oreocallis grandiflora (Lam.) R. Br;1986;Tropicos;Cucharillo, gañil;SARAGURO;-79,249999998899995;-3,499999999200000
453;454;Oreocallis grandiflora (Lam.) R. Br;1987;GBIF;Cucharillo, gañil;LOJA;-79,266960999600002;-3,969088999960000
454;455;Oreocallis grandiflora (Lam.) R. Br;1987;GBIF;Cucharillo, gañil;SARAGURO;-79,249999999799996;-3,583330000080000
455;456;Oreocallis grandiflora (Lam.) R. Br;1987;Tropicos;Cucharillo, gañil;SARAGURO;-79,249999998899995;-3,580000000300000
456;457;Oreocallis grandiflora (Lam.) R. Br;1988;GBIF;Cucharillo, gañil;CATAMAYO;-79,299666500100003;-4,000000000000000
457;458;Oreocallis grandiflora (Lam.) R. Br;1988;GBIF;Cucharillo, gañil;LOJA;-79,150000000000006;-3,916333499790000
458;459;Oreocallis grandiflora (Lam.) R. Br;1989;GBIF;Cucharillo, gañil;OLMEDO;-79,583166500299996;-3,950000000100000
459;460;Oreocallis grandiflora (Lam.) R. Br;1990;GBIF;Cucharillo, gañil;LOJA;-79,266664999800000;-3,991665000090000
460;461;Oreocallis grandiflora (Lam.) R. Br;1990;Tropicos;Cucharillo, gañil;LOJA;-79,280000000100003;-3,980000000400000
461;462;Oreocallis grandiflora (Lam.) R. Br;1991;GBIF;Cucharillo, gañil;CATAMAYO;-79,475000000199998;-3,975000000050000
462;463;Oreocallis grandiflora (Lam.) R. Br;1991;GBIF;Cucharillo, gañil;LOJA;-79,249999998899995;-4,250000000400000
463;464;Oreocallis grandiflora (Lam.) R. Br;1991;GBIF;Cucharillo, gañil;SARAGURO;-79,199999999900001;-3,583333000220000
464;465;Oreocallis grandiflora (Lam.) R. Br;1991;Tropicos;Cucharillo, gañil;CATAMAYO;-79,474999998900003;-3,975000000050000
465;466;Oreocallis grandiflora (Lam.) R. Br;1991;Tropicos;Cucharillo, gañil;LOJA;-79,249999998899995;-4,250000000400000
466;467;Oreocallis grandiflora (Lam.) R. Br;1991;Tropicos;Cucharillo, gañil;SARAGURO;-79,199999999900001;-3,580000000300000
467;468;Oreocallis grandiflora (Lam.) R. Br;1993;GBIF;Cucharillo, gañil;LOJA;-79,198056000199998;-4,160555999960000
468;469;Oreocallis grandiflora (Lam.) R. Br;1994;GBIF;Cucharillo, gañil;CATAMAYO;-79,378190000100005;-3,976524999780000
469;470;Oreocallis grandiflora (Lam.) R. Br;1994;GBIF;Cucharillo, gañil;ESPINDOLA;-79,451939999800004;-4,668609999850000
470;471;Oreocallis grandiflora (Lam.) R. Br;1994;GBIF;Cucharillo, gañil;LOJA;-79,259324999900002;-4,017640000040000
471;472;Oreocallis grandiflora (Lam.) R. Br;1994;GBIF;Cucharillo, gañil;PALTAS;-79,872775000299995;-4,035016500060000
472;473;Oreocallis grandiflora (Lam.) R. Br;1994;GBIF;Cucharillo, gañil;SARAGURO;-79,264719999600004;-3,612769999740000
473;474;Oreocallis grandiflora (Lam.) R. Br;1994;Tropicos;Cucharillo, gañil;CATAMAYO;-79,380000000300001;-3,974999999600000
474;475;Oreocallis grandiflora (Lam.) R. Br;1994;Tropicos;Cucharillo, gañil;ESPINDOLA;-79,450000000299994;-4,670000000100000
475;476;Oreocallis grandiflora (Lam.) R. Br;1994;Tropicos;Cucharillo, gañil;LOJA;-79,334999999900006;-3,880000000150000
476;477;Oreocallis grandiflora (Lam.) R. Br;1994;Tropicos;Cucharillo, gañil;PALTAS;-79,870000000000005;-4,039999999200000
477;478;Oreocallis grandiflora (Lam.) R. Br;1994;Tropicos;Cucharillo, gañil;SARAGURO;-79,259999999599998;-3,609999999700000
478;479;Oreocallis grandiflora (Lam.) R. Br;1995;GBIF;Cucharillo, gañil;LOJA;-79,243049999899995;-4,021094499710000
479;480;Oreocallis grandiflora (Lam.) R. Br;1995;GBIF;Cucharillo, gañil;PALTAS;-79,875000000300005;-4,033333000220000
480;481;Oreocallis grandiflora (Lam.) R. Br;1996;GBIF;Cucharillo, gañil;LOJA;-79,286193999800005;-3,875288500060000
481;482;Oreocallis grandiflora (Lam.) R. Br;1996;INaturalist;Cucharillo, gañil;LOJA;-79,272388350499995;-3,783876822560000
482;483;Oreocallis grandiflora (Lam.) R. Br;1996;Tropicos;Cucharillo, gañil;LOJA;-79,299999999700006;-3,969999999700000
483;484;Oreocallis grandiflora (Lam.) R. Br;1997;GBIF;Cucharillo, gañil;LOJA;-79,216649999699996;-3,999979999980000
484;485;Oreocallis grandiflora (Lam.) R. Br;1997;Tropicos;Cucharillo, gañil;LOJA;-79,249999998899995;-4,019999999600000
485;486;Oreocallis grandiflora (Lam.) R. Br;2002;GBIF;Cucharillo, gañil;LOJA;-79,190800000099998;-4,251099999870000
486;487;Oreocallis grandiflora (Lam.) R. Br;2002;GBIF;Cucharillo, gañil;SARAGURO;-79,249999999799996;-3,550000000000000
487;488;Oreocallis grandiflora (Lam.) R. Br;2003;GBIF;Cucharillo, gañil;LOJA;-79,216660000199994;-3,883330000380000
488;489;Oreocallis grandiflora (Lam.) R. Br;2003;Tropicos;Cucharillo, gañil;LOJA;-79,220000000400006;-3,879999999700000
489;490;Oreocallis grandiflora (Lam.) R. Br;2004;GBIF;Cucharillo, gañil;LOJA;-79,267525500000005;-3,902065500120000
490;491;Oreocallis grandiflora (Lam.) R. Br;2005;GBIF;Cucharillo, gañil;ESPINDOLA;-79,443895000300003;-4,705018999830000
491;492;Oreocallis grandiflora (Lam.) R. Br;2005;GBIF;Cucharillo, gañil;GONZANAMA;-79,391808000300003;-4,210815000110000
492;493;Oreocallis grandiflora (Lam.) R. Br;2005;GBIF;Cucharillo, gañil;LOJA;-79,238334500099995;-3,864344999920000
493;494;Oreocallis grandiflora (Lam.) R. Br;2006;GBIF;Cucharillo, gañil;CATAMAYO;-79,294746000200007;-3,999187000280000
494;495;Oreocallis grandiflora (Lam.) R. Br;2006;GBIF;Cucharillo, gañil;LOJA;-79,274136000400006;-3,914552499950000
495;496;Oreocallis grandiflora (Lam.) R. Br;2006;GBIF;Cucharillo, gañil;SARAGURO;-79,178706000000005;-3,646013000300000
496;497;Oreocallis grandiflora (Lam.) R. Br;2006;GBIF;Cucharillo, gañil;SOZORANGA;-79,725270999700001;-4,366576000180000
497;498;Oreocallis grandiflora (Lam.) R. Br;2007;GBIF;Cucharillo, gañil;ESPINDOLA;-79,421900000400001;-4,694099999920000
498;499;Oreocallis grandiflora (Lam.) R. Br;2007;GBIF;Cucharillo, gañil;GONZANAMA;-79,346530999699993;-4,285560999940000
499;500;Oreocallis grandiflora (Lam.) R. Br;2007;GBIF;Cucharillo, gañil;LOJA;-79,232084500100001;-3,967927500350000
500;501;Oreocallis grandiflora (Lam.) R. Br;2007;GBIF;Cucharillo, gañil;SARAGURO;-79,166700000299997;-3,590000000100000
501;502;Oreocallis grandiflora (Lam.) R. Br;2007;INaturalist;Cucharillo, gañil;LOJA;-79,172292132300001;-4,116491950940000
502;503;Oreocallis grandiflora (Lam.) R. Br;2008;GBIF;Cucharillo, gañil;CATAMAYO;-79,362440000399999;-3,982685000110000
503;504;Oreocallis grandiflora (Lam.) R. Br;2008;GBIF;Cucharillo, gañil;CELICA;-79,955875999599996;-4,103168000200000
504;505;Oreocallis grandiflora (Lam.) R. Br;2008;GBIF;Cucharillo, gañil;LOJA;-79,232103000099997;-4,000249999840000
505;506;Oreocallis grandiflora (Lam.) R. Br;2008;GBIF;Cucharillo, gañil;PALTAS;-79,650420000400004;-4,053818999750000
506;507;Oreocallis grandiflora (Lam.) R. Br;2008;GBIF;Cucharillo, gañil;QUILANGA;-79,382966999999994;-4,291047000220000
507;508;Oreocallis grandiflora (Lam.) R. Br;2011;GBIF;Cucharillo, gañil;ESPINDOLA;-79,363309000000001;-4,534508000340000
508;509;Oreocallis grandiflora (Lam.) R. Br;2011;GBIF;Cucharillo, gañil;LOJA;-79,197505000000007;-4,036995000020000
509;510;Oreocallis grandiflora (Lam.) R. Br;2011;GBIF;Cucharillo, gañil;OLMEDO;-79,581944000099995;-3,961943999620000
510;511;Oreocallis grandiflora (Lam.) R. Br;2011;GBIF;Cucharillo, gañil;SARAGURO;-79,228009000100002;-3,624990000290000
511;512;Oreocallis grandiflora (Lam.) R. Br;2011;INaturalist;Cucharillo, gañil;LOJA;-79,197505000000007;-4,036995000020000
